nuts_code,region_name_policy,year,program_name,hh_size,guaranteed_amount,max_amount,source_year,assumption_no_change,assumption_note,source_amount,notes_amount,schedule_included_main_baseline
ES24,Aragon,2017,Ingreso Aragonés de Inserción,5,849.6,896.8,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80,True
ES24,Aragon,2018,Ingreso Aragonés de Inserción,5,849.6,896.8,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80,True
ES24,Aragon,2019,Ingreso Aragonés de Inserción,5,849.6,896.8,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80,True
ES24,Aragon,2017,Ingreso Aragonés de Inserción,6,896.8,896.8,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80,True
ES24,Aragon,2018,Ingreso Aragonés de Inserción,6,896.8,896.8,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80,True
ES24,Aragon,2019,Ingreso Aragonés de Inserción,6,896.8,896.8,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 896.80,True
ES12,Asturias,2017,Salario Social Básico,1,442.96,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2018,Salario Social Básico,1,442.96,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2019,Salario Social Básico,1,442.96,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
ES12,Asturias,2017,Salario Social Básico,2,540.41,730.88,2017,True,2017 parameters carried forward to 2018-2019,Dato sulla RMI 2017.pdf - Cuadro 2,Report also mentions 5% increase in some disability/dependency cases,True
