region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,year,assumption_no_change,assumption_note
Aragon,Ingreso Aragonés de Inserción,3.0,708.0,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2018,True,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,3.0,708.0,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2019,True,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,4.0,802.4,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2017,True,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,4.0,802.4,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2018,True,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,4.0,802.4,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2019,True,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,5.0,849.6,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2017,True,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,5.0,849.6,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2018,True,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,5.0,849.6,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2019,True,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,6.0,896.8,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2017,True,2017 parameters carried forward to 2018-2019
Aragon,Ingreso Aragonés de Inserción,6.0,896.8,707.0,size_schedule,True,True,Apply cap at 707.00,Dato sulla RMI 2017.pdf - Cuadro 2,Apply cap at 707.00,ES24,2017,2018,True,2017 parameters carried forward to 2018-2019
