region_name_policy,baseline_age_threshold,baseline_claim_unit,baseline_resource_concept,baseline_wealth_test,baseline_labour_test,baseline_age_rule_type,baseline_allowed_hh_types,baseline_exclude_threeplus_adults,baseline_threeplus_rule,baseline_nonobservable_conditions_ignored,baseline_restricted_design,baseline_restriction_rationale,baseline_conditionality_profile,baseline_apply_active_inclusion_gate,baseline_relax_labour_gate,baseline_non_takeup_group,baseline_scheme_structure,baseline_amount_topup_factor,baseline_main_included,baseline_amount_method,nuts_code,source_year,year,assumption_no_change,assumption_note,program_name,simple_schedule,hh_rule_type,amount_simulable,max_amount,max_hh_size_listed,amount_simulation_notes,source_amount,notes_amount,baseline_has_listed_schedule,baseline_formula_region,baseline_needs_special_handling,labour_gate_profile,labour_gate_profile_note
Catalonia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,medium,transition_to_rgc,1.0,True,simple_schedule,ES51,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Renta Garantizada de Ciudadanía (RGC),True,size_schedule,True,1062.0,5,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Catalonia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,medium,transition_to_rgc,1.0,True,simple_schedule,ES51,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Renta Garantizada de Ciudadanía (RGC),True,size_schedule,True,1062.0,5,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Catalonia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,medium,transition_to_rgc,1.0,True,simple_schedule,ES51,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Renta Garantizada de Ciudadanía (RGC),True,size_schedule,True,1062.0,5,Using RGC from late 2017 onward by assumption,Dato sulla RMI 2017.pdf - Cuadro 13 notes,During 2017 RMI and RGC coexist; using RGC from 2017 onward,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Ceuta,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES63,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Mínimo de Inserción Social,True,size_schedule,True,420.0,5,,Dato sulla RMI 2017.pdf - Cuadro 2,,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Ceuta,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES63,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Mínimo de Inserción Social,True,size_schedule,True,420.0,5,,Dato sulla RMI 2017.pdf - Cuadro 2,,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Ceuta,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,none,classic_rmi,1.0,True,simple_schedule,ES63,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Ingreso Mínimo de Inserción Social,True,size_schedule,True,420.0,5,,Dato sulla RMI 2017.pdf - Cuadro 2,,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Extremadura,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,medium,classic_rmi,1.0,True,simple_schedule,ES43,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Renta Básica Extremeña de Inserción,True,size_schedule,True,726.08,7,,Dato sulla RMI 2017.pdf - Cuadro 2,,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Extremadura,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,medium,classic_rmi,1.0,True,simple_schedule,ES43,2017,2018,True,2017 baseline operational rules carried forward to 2018-2019,Renta Básica Extremeña de Inserción,True,size_schedule,True,726.08,7,,Dato sulla RMI 2017.pdf - Cuadro 2,,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Extremadura,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,medium,classic_rmi,1.0,True,simple_schedule,ES43,2017,2019,True,2017 baseline operational rules carried forward to 2018-2019,Renta Básica Extremeña de Inserción,True,size_schedule,True,726.08,7,,Dato sulla RMI 2017.pdf - Cuadro 2,,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
Galicia,25,restricted_household_proxy,income_before_transfers_monthly,proxy_asset_exclusion_strict,none,responsible_person_then_household_fallback,single_adult_single_parent_two_adults_plus_restricted_threeplus,False,exclude_if_multi_nucleus_proxy,True,True,Restricted baseline to reduce oversimulation when exact legal claim unit is not observed,standard,True,False,medium,classic_rmi,1.0,True,simple_schedule,ES11,2017,2017,True,2017 baseline operational rules carried forward to 2018-2019,Renta de Inclusión Social (RISGA),True,size_schedule,True,726.08,4,Larger household sizes may need cap logic,Dato sulla RMI 2017.pdf - Cuadro 8 / notes,Later 2017 values after update; larger sizes may need cap logic,True,False,False,standard,Classic RMI; RP must be unemployed or all working-age members nonworking
