region,program_name,hh_size,guaranteed_amount,max_amount,hh_rule_type,simple_schedule,amount_simulable,amount_simulation_notes,source,notes,nuts_code,source_year,assumption_no_change,assumption_note
Balearic Islands,Renta Social Garantizada,5,688.58,776.58,size_schedule,TRUE,TRUE,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,TRUE,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,6,731.61,776.58,size_schedule,TRUE,TRUE,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,TRUE,2017 parameters carried forward to 2018-2019
Balearic Islands,Renta Social Garantizada,7,774.65,776.58,size_schedule,TRUE,TRUE,Using later 2017 RESOGA regime,Dato sulla RMI 2017.pdf - Cuadro 2 / Cuadro 13 notes,2017 coexistence with RMI; using later 2017 guaranteed-income regime by assumption,ES53,2017,TRUE,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,1,476.88,665.13,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES70,2017,TRUE,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,2,476.88,665.13,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES70,2017,TRUE,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,3,539.63,665.13,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES70,2017,TRUE,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,4,589.83,665.13,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES70,2017,TRUE,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,5,621.2,665.13,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES70,2017,TRUE,2017 parameters carried forward to 2018-2019
Canary Islands,Prestación Canaria de Inserción,6,646.3,665.13,size_schedule,TRUE,TRUE,NA,Dato sulla RMI 2017.pdf - Cuadro 2,NA,ES70,2017,TRUE,2017 parameters carried forward to 2018-2019
Cantabria,Renta Social Básica,1,430.27,672.3,size_schedule,TRUE,TRUE,Later 2017 values after update,Dato sulla RMI 2017.pdf - Cuadro 2,Later 2017 values after update,ES13,2017,TRUE,2017 parameters carried forward to 2018-2019
